dropped_curie,dropped_label,dropped_from_clique_leader,clique_leader_label
MEDDRA:10067159,,MONDO:0008428,septooptic dysplasia
MEDDRA:10053841,,MONDO:0008436,Sneddon syndrome
MEDDRA:10062920,,MONDO:0008471,spondyloepiphyseal dysplasia congenita
MEDDRA:10042044,,MONDO:0008491,stiff-person syndrome
MEDDRA:10042265,,MONDO:0008501,Sturge-Weber syndrome
MEDDRA:10057653,,MONDO:0008501,Sturge-Weber syndrome
MEDDRA:10042598,,MONDO:0008504,supravalvular aortic stenosis
MEDDRA:10071755,,MONDO:0008523,Blau syndrome
MEDDRA:10018250,,MONDO:0008538,temporal arteritis
MEDDRA:10043207,,MONDO:0008538,temporal arteritis
MEDDRA:10016193,,MONDO:0008542,tetralogy of fallot
MEDDRA:10021245,,MONDO:0008558,autoimmune thrombocytopenic purpura
MEDDRA:10049058,,MONDO:0008585,HELLP syndrome
MEDDRA:10044652,,MONDO:0008599,trigeminal neuralgia
MEDDRA:10044688,,MONDO:0008608,Down syndrome
MEDDRA:10056433,,MONDO:0008628,ureterocele
MEDDRA:10064569,,MONDO:0008633,Muckle-Wells syndrome
MEDDRA:10053665,,MONDO:0008642,VACTERL/vater association
MEDDRA:10066022,,MONDO:0008642,VACTERL/vater association
MEDDRA:10047716,,MONDO:0008667,von Hippel-Lindau disease
MEDDRA:10049644,,MONDO:0008678,Williams syndrome
MEDDRA:10070179,,MONDO:0008682,Denys-Drash syndrome
MEDDRA:10050361,,MONDO:0008684,Wolf-Hirschhorn syndrome
MEDDRA:10000002,,MONDO:0008729,congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency
MEDDRA:10001689,,MONDO:0008753,alkaptonuria
MEDDRA:10001767,,MONDO:0008757,alopecia universalis congenita
MEDDRA:10062943,,MONDO:0008758,mitochondrial DNA depletion syndrome 4a
MEDDRA:10068783,,MONDO:0008763,Alstrom syndrome
MEDDRA:10051875,,MONDO:0008783,Tangier disease
MEDDRA:10002583,,MONDO:0008797,anodontia
MEDDRA:10049005,,MONDO:0008813,arachnoid cyst
MEDDRA:10062695,,MONDO:0008814,arginase deficiency
MEDDRA:10058299,,MONDO:0008815,argininosuccinic aciduria
MEDDRA:10056945,,MONDO:0008816,Chiari malformation type II
MEDDRA:10003446,,MONDO:0008829,chylous ascites
MEDDRA:10068220,,MONDO:0008830,aspartylglucosaminuria
MEDDRA:10068335,,MONDO:0008832,right atrial isomerism
MEDDRA:10003594,,MONDO:0008840,ataxia telangiectasia
MEDDRA:10063985,,MONDO:0008863,sitosterolemia
MEDDRA:10003650,,MONDO:0008867,biliary atresia
MEDDRA:10054064,,MONDO:0008882,congenital bowing of long bones
MEDDRA:10043540,,MONDO:0008889,thromboangiitis obliterans
MEDDRA:10008033,,MONDO:0008939,isolated cerebellar hypoplasia/agenesis
MEDDRA:10059626,,MONDO:0008947,bilateral striopallidodentate calcinosis
MEDDRA:10008415,,MONDO:0008963,Chediak-Higashi syndrome
MEDDRA:10064063,,MONDO:0008965,CHARGE syndrome
MEDDRA:10008734,,MONDO:0008977,chondrosarcoma
MEDDRA:10008747,,MONDO:0008978,chordoma
MEDDRA:10049066,,MONDO:0008999,Cohen syndrome
MEDDRA:10022599,,MONDO:0009010,aortic arch interruption
MEDDRA:10067380,,MONDO:0009026,Costello syndrome
MEDDRA:10011386,,MONDO:0009044,Crigler-Najjar syndrome
MEDDRA:10035109,,MONDO:0009050,Cushing disease due to pituitary adenoma
MEDDRA:10011762,,MONDO:0009061,cystic fibrosis
MEDDRA:10011778,,MONDO:0009067,cystinuria
MEDDRA:10048411,,MONDO:0009072,Dandy-Walker syndrome
MEDDRA:10012750,,MONDO:0009106,diastematomyelia
MEDDRA:10058300,,MONDO:0009109,lysinuric protein intolerance
MEDDRA:10066387,,MONDO:0009114,congenital sucrase-isomaltase deficiency
MEDDRA:10059589,,MONDO:0009124,Dubowitz syndrome
MEDDRA:10039179,,MONDO:0009131,Riley-Day syndrome
MEDDRA:10013140,,MONDO:0009133,"cerebellar ataxia, intellectual disability, and dysequilibrium"
MEDDRA:10014075,,MONDO:0009144,Ebstein anomaly
MEDDRA:10008724,,MONDO:0009162,Ellis-van Creveld syndrome
MEDDRA:10014663,,MONDO:0009169,endocardial fibroelastosis
MEDDRA:10014954,,MONDO:0009175,eosinophilic fasciitis
MEDDRA:10052339,,MONDO:0009176,epidermodysplasia verruciformis
MEDDRA:10062600,,MONDO:0009191,Lowry-Wood syndrome
MEDDRA:10068448,,MONDO:0009221,femur-fibula-ulna complex
MEDDRA:10019878,,MONDO:0009249,hereditary fructose intolerance
MEDDRA:10015487,,MONDO:0009252,essential fructosuria
MEDDRA:10057473,,MONDO:0009276,Bernard-Soulier syndrome
MEDDRA:10053185,,MONDO:0009290,glycogen storage disease II
MEDDRA:10053250,,MONDO:0009291,glycogen storage disease III
MEDDRA:10053249,,MONDO:0009292,glycogen storage disease due to glycogen branching enzyme deficiency
MEDDRA:10018462,,MONDO:0009293,glycogen storage disease V
MEDDRA:10053240,,MONDO:0009294,glycogen storage disease VI
MEDDRA:10053241,,MONDO:0009295,glycogen storage disease VII
MEDDRA:10018620,,MONDO:0009303,anti-glomerular basement membrane disease
MEDDRA:10019165,,MONDO:0009324,Hartnup disease
MEDDRA:10019263,,MONDO:0009326,congenital heart block
MEDDRA:10071093,,MONDO:0009352,classic homocystinuria
MEDDRA:10029773,,MONDO:0009366,normal pressure hydrocephalus
MEDDRA:10052312,,MONDO:0009367,McKusick-Kaufman syndrome
MEDDRA:10058297,,MONDO:0009376,carbamoyl phosphate synthetase I deficiency disease
MEDDRA:10039234,,MONDO:0009379,Rotor syndrome
MEDDRA:10013800,,MONDO:0009380,Dubin-Johnson syndrome
MEDDRA:10058513,,MONDO:0009400,hyperprolinemia type 1
MEDDRA:10058512,,MONDO:0009401,hyperprolinemia type 2
MEDDRA:10058514,,MONDO:0009401,hyperprolinemia type 2
MEDDRA:10039768,,MONDO:0009412,scurvy
MEDDRA:10047623,,MONDO:0009412,scurvy
MEDDRA:10048699,,MONDO:0009458,Schimke immuno-osseous dysplasia
MEDDRA:10037149,,MONDO:0009468,pseudotumor cerebri
MEDDRA:10010626,,MONDO:0009476,atresia of small intestine
MEDDRA:10023492,,MONDO:0009499,Krabbe disease
MEDDRA:10052075,,MONDO:0009509,Landau-Kleffner syndrome
MEDDRA:10052083,,MONDO:0009509,Landau-Kleffner syndrome
MEDDRA:10056710,,MONDO:0009514,Laurence-Moon syndrome
MEDDRA:10024265,,MONDO:0009519,letterer-Siwe disease
MEDDRA:10068361,,MONDO:0009532,Miller-Dieker lissencephaly syndrome
MEDDRA:10062997,,MONDO:0009537,lymphoid interstitial pneumonia
MEDDRA:10026817,,MONDO:0009563,maple syrup urine disease
MEDDRA:10069596,,MONDO:0009595,cartilage-hair hypoplasia
MEDDRA:10067857,,MONDO:0009623,Nijmegen breakage syndrome
MEDDRA:10068494,,MONDO:0009635,microvillus inclusion disease
MEDDRA:10027710,,MONDO:0009637,inborn mitochondrial myopathy
MEDDRA:10056892,,MONDO:0009661,mucopolysaccharidosis type 6
MEDDRA:10056893,,MONDO:0009662,mucopolysaccharidosis type 7
MEDDRA:10071434,,MONDO:0009665,biotinidase deficiency
MEDDRA:10028417,,MONDO:0009688,myasthenia gravis
MEDDRA:10028483,,MONDO:0009691,mycosis fungoides
MEDDRA:10028228,,MONDO:0009693,plasma cell myeloma
MEDDRA:10071082,,MONDO:0009696,juvenile myoclonic epilepsy
MEDDRA:10054030,,MONDO:0009697,Lafora disease
MEDDRA:10054895,,MONDO:0009698,Unverricht-Lundborg syndrome
MEDDRA:10064584,,MONDO:0009714,myosclerosis
MEDDRA:10028663,,MONDO:0009718,myxedema
MEDDRA:10062950,,MONDO:0009723,Leigh syndrome
MEDDRA:10060740,,MONDO:0009732,"congenital nephrotic syndrome, Finnish type"
MEDDRA:10062909,,MONDO:0009735,Netherton syndrome
MEDDRA:10058949,,MONDO:0009761,cystic hygroma
MEDDRA:10067424,,MONDO:0009774,cloacal exstrophy
MEDDRA:10052452,,MONDO:0009820,osteoporosis-pseudoglioma syndrome
MEDDRA:10067940,,MONDO:0009833,Shwachman-Diamond syndrome
MEDDRA:10008777,,MONDO:0009837,choroid plexus papilloma
MEDDRA:10064170,,MONDO:0009846,pentosuria
MEDDRA:10056961,,MONDO:0009848,dissecting cellulitis of the scalp
MEDDRA:10070440,,MONDO:0009852,hereditary intrinsic factor deficiency
MEDDRA:10034872,,MONDO:0009861,phenylketonuria
MEDDRA:10036047,,MONDO:0009889,autosomal recessive polycystic kidney disease
MEDDRA:10036057,,MONDO:0009891,acquired polycythemia vera
MEDDRA:10062906,,MONDO:0009904,Gitelman syndrome
MEDDRA:10000029,,MONDO:0009923,"46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency"
MEDDRA:10037315,,MONDO:0009928,pulmonary alveolar microlithiasis
MEDDRA:10037458,,MONDO:0009937,pulmonary venoocclusive disease
MEDDRA:10038275,,MONDO:0009958,adult Refsum disease
MEDDRA:10038804,,MONDO:0009975,reticulum cell sarcoma
MEDDRA:10065868,,MONDO:0009993,embryonal rhabdomyosarcoma
MEDDRA:10065867,,MONDO:0009994,alveolar rhabdomyosarcoma
MEDDRA:10059299,,MONDO:0010008,sarcosinemia
MEDDRA:10063540,,MONDO:0010010,Schinzel-Giedion syndrome
MEDDRA:10067529,,MONDO:0010028,sialuria
MEDDRA:10048676,,MONDO:0010031,Sjogren-Larsson syndrome
MEDDRA:10067608,,MONDO:0010079,Canavan disease
MEDDRA:10043147,,MONDO:0010100,Tay-Sachs disease
MEDDRA:10071719,,MONDO:0010121,thrombocytopenia-absent radius syndrome
MEDDRA:10052622,,MONDO:0010130,dihydropyrimidine dehydrogenase deficiency
MEDDRA:10044316,,MONDO:0010148,Mounier-Kuhn syndrome
MEDDRA:10060121,,MONDO:0010150,head and neck squamous cell carcinoma
MEDDRA:10069463,,MONDO:0010160,tyrosinemia type II
MEDDRA:10069462,,MONDO:0010161,tyrosinemia type I
MEDDRA:10069461,,MONDO:0010162,tyrosinemia type III
MEDDRA:10049429,,MONDO:0010196,Werner syndrome
MEDDRA:10047913,,MONDO:0010198,Wernicke-Korsakoff syndrome
MEDDRA:10019819,,MONDO:0010200,Wilson disease
MEDDRA:10063689,,MONDO:0010220,Young syndrome
MEDDRA:10057589,,MONDO:0010298,Lesch-Nyhan syndrome
MEDDRA:10059117,,MONDO:0010311,Becker muscular dystrophy
MEDDRA:10017324,,MONDO:0010383,fragile X syndrome
MEDDRA:10060360,,MONDO:0010421,Bruton-type agammaglobulinemia
MEDDRA:10042863,,MONDO:0010434,synovial sarcoma
MEDDRA:10016016,,MONDO:0010526,Fabry disease
MEDDRA:10008791,,MONDO:0010557,choroideremia
MEDDRA:10054935,,MONDO:0010568,Aicardi syndrome
MEDDRA:10067148,,MONDO:0010589,"Aarskog-Scott syndrome, X-linked"
MEDDRA:10053242,,MONDO:0010598,glycogen storage disease IXa1
MEDDRA:10016080,,MONDO:0010602,hemophilia A
MEDDRA:10016077,,MONDO:0010604,hemophilia B
MEDDRA:10048063,,MONDO:0010622,recessive X-linked ichthyosis
MEDDRA:10068348,,MONDO:0010627,X-linked lymphoproliferative syndrome
MEDDRA:10051707,,MONDO:0010645,oculocerebrorenal syndrome
MEDDRA:10060908,,MONDO:0010650,Melnick-Needles syndrome
MEDDRA:10027294,,MONDO:0010651,Menkes disease
MEDDRA:10056889,,MONDO:0010674,mucopolysaccharidosis type 2
MEDDRA:10013801,,MONDO:0010679,Duchenne muscular dystrophy
MEDDRA:10069760,,MONDO:0010691,Norrie disease
MEDDRA:10052450,,MONDO:0010703,ornithine carbamoyltransferase deficiency
MEDDRA:10067610,,MONDO:0010714,Pelizaeus-Merzbacher spectrum disorder
MEDDRA:10039000,,MONDO:0010726,Rett syndrome
MEDDRA:10068600,,MONDO:0010735,Kennedy disease
MEDDRA:10069402,,MONDO:0010759,Wildervanck syndrome
MEDDRA:10048804,,MONDO:0010787,Kearns-Sayre syndrome
MEDDRA:10053872,,MONDO:0010789,MELAS syndrome
MEDDRA:10069825,,MONDO:0010790,MERRF syndrome
MEDDRA:10062940,,MONDO:0010794,NARP syndrome
MEDDRA:10062941,,MONDO:0010797,Pearson syndrome
MEDDRA:10072077,,MONDO:0010808,fatal familial insomnia
MEDDRA:10036832,,MONDO:0010911,prolactin-producing pituitary gland adenoma
MEDDRA:10027555,,MONDO:0010920,microtia
MEDDRA:10070579,,MONDO:0010922,Satoyoshi syndrome
MEDDRA:10068936,,MONDO:0010939,gallbladder disease 1
MEDDRA:10006537,,MONDO:0010947,Budd-Chiari syndrome
MEDDRA:10064281,,MONDO:0011208,malignant atrophic papulosis
MEDDRA:10069681,,MONDO:0011224,monomelic amyotrophy
MEDDRA:10069097,,MONDO:0011338,Omenn syndrome
MEDDRA:10040641,,MONDO:0011382,sickle cell disease
MEDDRA:10043390,,MONDO:0011399,alpha thalassemia spectrum
MEDDRA:10059202,,MONDO:0011414,Peters anomaly
MEDDRA:10059177,,MONDO:0011429,juvenile idiopathic arthritis
MEDDRA:10038249,,MONDO:0011441,complex regional pain syndrome type 1
MEDDRA:10064334,,MONDO:0011441,complex regional pain syndrome type 1
MEDDRA:10067531,,MONDO:0011449,Salla disease
MEDDRA:10062952,,MONDO:0011490,diffuse panbronchiolitis
MEDDRA:10049767,,MONDO:0011514,tricuspid atresia
MEDDRA:10069417,,MONDO:0011634,rippling muscle disease
MEDDRA:10034052,,MONDO:0011644,pars planitis
MEDDRA:10001882,,MONDO:0011655,alveolar soft part sarcoma
MEDDRA:10051066,,MONDO:0011719,gastrointestinal stromal tumor
MEDDRA:10011387,,MONDO:0011725,Crigler-Najjar syndrome type 2
MEDDRA:10066388,,MONDO:0011731,glucose-galactose malabsorption
MEDDRA:10056916,,MONDO:0011759,Hurler-Scheie syndrome
MEDDRA:10066191,,MONDO:0011782,angioid streaks
MEDDRA:10069034,,MONDO:0011885,tubulointerstitial nephritis and uveitis syndrome
MEDDRA:10069039,,MONDO:0011885,tubulointerstitial nephritis and uveitis syndrome
MEDDRA:10023249,,MONDO:0011908,juvenile myelomonocytic leukemia
MEDDRA:10057070,,MONDO:0011934,dermatofibrosarcoma protuberans
MEDDRA:10000748,,MONDO:0011959,sweet syndrome
MEDDRA:10033266,,MONDO:0011972,ovarian hyperstimulation syndrome
MEDDRA:10024198,,MONDO:0011989,leishmaniasis
MEDDRA:10009013,,MONDO:0011996,chronic myeloid leukemia
MEDDRA:10047888,,MONDO:0012105,granulomatosis with polyangiitis
MEDDRA:10008587,,MONDO:0012155,choanal atresia
MEDDRA:10016524,,MONDO:0012275,fetal valproate syndrome
MEDDRA:10072223,,MONDO:0012316,Majeed syndrome
MEDDRA:10002947,,MONDO:0012456,congenital primary aphakia
MEDDRA:10072219,,MONDO:0012481,mevalonic aciduria
MEDDRA:10023320,,MONDO:0012727,Kawasaki disease
MEDDRA:10015560,,MONDO:0012817,Ewing sarcoma
MEDDRA:10012671,,MONDO:0012819,diabetic ketoacidosis
MEDDRA:10068370,,MONDO:0012868,"thrombophilia due to protein S deficiency, autosomal dominant"
MEDDRA:10001019,,MONDO:0012883,acute promyelocytic leukemia
MEDDRA:10068739,,MONDO:0013024,chronic thromboembolic pulmonary hypertension
MEDDRA:10029530,,MONDO:0013209,metabolic dysfunction-associated steatotic liver disease
MEDDRA:10001806,,MONDO:0013282,alpha 1-antitrypsin deficiency
MEDDRA:10036732,,MONDO:0013433,primary sclerosing cholangitis
MEDDRA:10063435,,MONDO:0013512,hemoglobin H disease
MEDDRA:10063955,,MONDO:0013577,Lipedema
MEDDRA:10018651,,MONDO:0013730,graft versus host disease
MEDDRA:10048230,,MONDO:0015028,"48,XXYY syndrome"
MEDDRA:10007476,,MONDO:0015075,thyroid gland carcinoma
MEDDRA:10071150,,MONDO:0015094,subependymal nodular heterotopia
MEDDRA:10054329,,MONDO:0015100,aregenerative anemia
MEDDRA:10036183,,MONDO:0015104,porphyria cutanea tarda
MEDDRA:10001130,,MONDO:0015129,chronic primary adrenal insufficiency
MEDDRA:10051643,,MONDO:0015168,arthrogryposis multiplex congenita
MEDDRA:10069002,,MONDO:0015175,autoimmune pancreatitis
MEDDRA:10049416,,MONDO:0015183,short bowel syndrome
MEDDRA:10020529,,MONDO:0015193,hydrops fetalis
MEDDRA:10040661,,MONDO:0015194,sideroblastic anemia
MEDDRA:10064895,,MONDO:0015195,atresia of urethra
MEDDRA:10002533,,MONDO:0015200,anisakiasis
MEDDRA:10061060,,MONDO:0015203,coronary artery congenital malformation
MEDDRA:10056715,,MONDO:0015229,Bardet-Biedl syndrome
MEDDRA:10050839,,MONDO:0015231,Bartter syndrome
MEDDRA:10006474,,MONDO:0015243,allergic bronchopulmonary aspergillosis
MEDDRA:10062989,,MONDO:0015253,Diamond-Blackfan anemia
MEDDRA:10039603,,MONDO:0015254,schistosomiasis
MEDDRA:10013029,,MONDO:0015260,diphyllobothriasis
MEDDRA:10059027,,MONDO:0015263,Brugada syndrome
MEDDRA:10027104,,MONDO:0015268,medullary sponge kidney
MEDDRA:10069646,,MONDO:0015271,idiopathic camptocormia
MEDDRA:10027101,,MONDO:0015277,medullary thyroid gland carcinoma
MEDDRA:10009007,,MONDO:0015279,chronic mucocutaneous candidiasis
MEDDRA:10069732,,MONDO:0015290,neurotrophic keratopathy
MEDDRA:10067467,,MONDO:0015294,nephrogenic systemic fibrosis
MEDDRA:10053868,,MONDO:0015299,Asherman syndrome
MEDDRA:10056953,,MONDO:0015302,nodular cutaneous amyloidosis
MEDDRA:10003074,,MONDO:0015304,arachnoiditis
MEDDRA:10065552,,MONDO:0015306,Lemierre syndrome
MEDDRA:10058919,,MONDO:0015340,drug rash with eosinophilia and systemic symptoms
MEDDRA:10070595,,MONDO:0015347,multicentric reticulohistiocytosis
MEDDRA:10056667,,MONDO:0015453,Cogan syndrome
MEDDRA:10028176,,MONDO:0015454,multiple carboxylase deficiency
MEDDRA:10028793,,MONDO:0015459,nasopharyngeal carcinoma
MEDDRA:10049889,,MONDO:0015469,craniosynostosis
MEDDRA:10011502,,MONDO:0015474,cryptosporidiosis
MEDDRA:10011775,,MONDO:0015484,cysticercosis
MEDDRA:10023353,,MONDO:0015486,keratoconus
MEDDRA:10021449,,MONDO:0015517,common variable immunodeficiency
MEDDRA:10052575,,MONDO:0015535,xanthoma disseminatum
MEDDRA:10058125,,MONDO:0015540,hemophagocytic syndrome
MEDDRA:10070904,,MONDO:0015541,hereditary hemophagocytic lymphohistiocytosis
MEDDRA:10053867,,MONDO:0015545,macrophage activation syndrome
MEDDRA:10050251,,MONDO:0015564,Castleman disease
MEDDRA:10057903,,MONDO:0015573,subacute cutaneous lupus erythematosus
MEDDRA:10069664,,MONDO:0015599,atopic keratoconjunctivitis
MEDDRA:10060957,,MONDO:0015604,middle ear anomaly
MEDDRA:10069199,,MONDO:0015612,Dent disease
MEDDRA:10012468,,MONDO:0015614,dermatitis herpetiformis
MEDDRA:10034699,,MONDO:0015626,Charcot-Marie-Tooth disease
MEDDRA:10012592,,MONDO:0015661,dextrocardia
MEDDRA:10008522,,MONDO:0015681,childhood disintegrative disorder
MEDDRA:10065854,,MONDO:0015687,chronic eosinophilic leukemia
MEDDRA:10048643,,MONDO:0015691,hypereosinophilic syndrome
MEDDRA:10038271,,MONDO:0015692,refractory anemia with excess blasts in transformation
MEDDRA:10044388,,MONDO:0015698,transient hypogammaglobulinemia of infancy
MEDDRA:10072229,,MONDO:0015704,familial scaphocephaly syndrome
MEDDRA:10052594,,MONDO:0015742,periventricular leukomalacia
MEDDRA:10011677,,MONDO:0015758,primary cutaneous T-cell lymphoma
MEDDRA:10042971,,MONDO:0015760,T-cell non-Hodgkin lymphoma
MEDDRA:10008631,,MONDO:0015766,cholera
MEDDRA:10068587,,MONDO:0015790,central diabetes insipidus
MEDDRA:10069351,,MONDO:0015796,acute lung injury
MEDDRA:10067917,,MONDO:0015798,inflammatory myofibroblastic tumor
MEDDRA:10045224,,MONDO:0015827,distal renal tubular acidosis
MEDDRA:10012770,,MONDO:0015834,didelphys uterus
MEDDRA:10062606,,MONDO:0015839,septate uterus
MEDDRA:10004550,,MONDO:0015842,bicornuate uterus
MEDDRA:10063146,,MONDO:0015843,uterine hypoplasia
MEDDRA:10049786,,MONDO:0015854,supernumerary breasts
MEDDRA:10061630,,MONDO:0015898,adrenogenital syndrome
MEDDRA:10008803,,MONDO:0015908,chromomycosis
MEDDRA:10022611,,MONDO:0015925,interstitial lung disease
MEDDRA:10035653,,MONDO:0015926,pneumoconiosis
MEDDRA:10048594,,MONDO:0015943,eosinophilic granulomatosis with polyangiitis
MEDDRA:10021202,,MONDO:0015947,inherited ichthyosis
MEDDRA:10069566,,MONDO:0015974,severe combined immunodeficiency
MEDDRA:10001471,,MONDO:0015977,agammaglobulinemia
MEDDRA:10051951,,MONDO:0015987,scimitar syndrome
MEDDRA:10014145,,MONDO:0015998,isolated ectopia lentis
MEDDRA:10071183,,MONDO:0016004,aminopterin/methotrexate embryofetopathy
MEDDRA:10009835,,MONDO:0016006,Cockayne syndrome
MEDDRA:10016508,,MONDO:0016008,fetal hydantoin syndrome
MEDDRA:10051445,,MONDO:0016010,vitamin K-antagonist embryofetopathy
MEDDRA:10016845,,MONDO:0016011,fetal alcohol syndrome
MEDDRA:10012780,,MONDO:0016012,diethylstilbestrol syndrome
MEDDRA:10067866,,MONDO:0016027,benign neonatal seizures
MEDDRA:10015284,,MONDO:0016028,erythromelalgia
MEDDRA:10053873,,MONDO:0016030,Evans syndrome
MEDDRA:10056354,,MONDO:0016033,Cornelia de Lange syndrome
MEDDRA:10028913,,MONDO:0016035,Nelson syndrome
MEDDRA:10009260,,MONDO:0016044,cleft lip/palate
MEDDRA:10014801,,MONDO:0016047,endophthalmitis
MEDDRA:10003747,,MONDO:0016052,atypical autism
MEDDRA:10027534,,MONDO:0016056,isolated congenital microcephaly
MEDDRA:10051906,,MONDO:0016063,Cowden disease
MEDDRA:10009269,,MONDO:0016064,cleft palate
MEDDRA:10016674,,MONDO:0016075,filariasis
MEDDRA:10068871,,MONDO:0016107,myotonic dystrophy
MEDDRA:10028658,,MONDO:0016120,myotonic syndrome
MEDDRA:10051512,,MONDO:0016126,viral myositis
MEDDRA:10017902,,MONDO:0016129,eosinophilic gastroenteritis
MEDDRA:10068850,,MONDO:0016168,cryopyrin-associated periodic syndrome
MEDDRA:10011692,,MONDO:0016175,cutis laxa
MEDDRA:10064924,,MONDO:0016217,mal de Debarquement
MEDDRA:10018767,,MONDO:0016218,Guillain-Barre syndrome
MEDDRA:10011777,,MONDO:0016239,cystinosis
MEDDRA:10019464,,MONDO:0016240,hemimelia
MEDDRA:10018883,,MONDO:0016242,hemoglobin C disease
MEDDRA:10053215,,MONDO:0016243,hemoglobin E disease
MEDDRA:10003827,,MONDO:0016264,autoimmune hepatitis
MEDDRA:10056304,,MONDO:0016296,holoprosencephaly
MEDDRA:10011120,,MONDO:0016301,congenitally corrected transposition of the great arteries
MEDDRA:10036807,,MONDO:0016318,progressive multifocal leukoencephalopathy
MEDDRA:10010506,,MONDO:0016349,congenital hydrocephalus
MEDDRA:10012503,,MONDO:0016367,dermatomyositis
MEDDRA:10026828,,MONDO:0016370,Marchiafava-Bignami disease
MEDDRA:10018391,,MONDO:0016372,glossopharyngeal neuralgia
MEDDRA:10029147,,MONDO:0016383,nephrogenic diabetes insipidus
MEDDRA:10028933,,MONDO:0016391,neonatal diabetes mellitus
MEDDRA:10051919,,MONDO:0016426,fusariosis
MEDDRA:10010252,,MONDO:0016430,Balo concentric sclerosis
MEDDRA:10013618,,MONDO:0016472,dracunculiasis
MEDDRA:10013706,,MONDO:0016474,drug-induced lupus erythematosus
MEDDRA:10012236,,MONDO:0016489,delta-beta-thalassemia
MEDDRA:10063935,,MONDO:0016512,Kabuki syndrome
MEDDRA:10064585,,MONDO:0016523,bronchogenic cyst
MEDDRA:10023885,,MONDO:0016530,laryngocele
MEDDRA:10048816,,MONDO:0016532,Lennox-Gastaut syndrome
MEDDRA:10024797,,MONDO:0016566,loiasis
MEDDRA:10024792,,MONDO:0016567,locked-in syndrome
MEDDRA:10000746,,MONDO:0016573,acute fatty liver of pregnancy
MEDDRA:10042949,,MONDO:0016586,systemic mastocytosis
MEDDRA:10058093,,MONDO:0016587,arrhythmogenic right ventricular cardiomyopathy
MEDDRA:10035667,,MONDO:0016595,inhalational anthrax
MEDDRA:10051686,,MONDO:0016620,primary hypertrophic osteoarthropathy
MEDDRA:10027191,,MONDO:0016642,meningioma
MEDDRA:10028197,,MONDO:0016648,multiple epiphyseal dysplasia
MEDDRA:10057072,,MONDO:0016669,sickle cell-hemoglobin c disease syndrome
MEDDRA:10056724,,MONDO:0016670,sickle cell-hemoglobin d disease syndrome
MEDDRA:10018340,,MONDO:0016681,gliosarcoma
MEDDRA:10066254,,MONDO:0016683,gliomatosis cerebri
MEDDRA:10002224,,MONDO:0016684,anaplastic astrocytoma
MEDDRA:10060971,,MONDO:0016684,anaplastic astrocytoma
MEDDRA:10065869,,MONDO:0016685,low-grade astrocytoma
MEDDRA:10065889,,MONDO:0016688,fibrillary astrocytoma
MEDDRA:10030286,,MONDO:0016695,oligodendroglioma
MEDDRA:10026659,,MONDO:0016696,anaplastic oligodendroglioma
MEDDRA:10014967,,MONDO:0016698,ependymoma
MEDDRA:10014968,,MONDO:0016700,anaplastic ependymoma
MEDDRA:10014966,,MONDO:0016715,ependymoblastoma
MEDDRA:10067478,,MONDO:0016718,choroid plexus carcinoma
MEDDRA:10050487,,MONDO:0016722,pineoblastoma
MEDDRA:10035059,,MONDO:0016723,pineocytoma
MEDDRA:10017701,,MONDO:0016733,ganglioglioma
MEDDRA:10061282,,MONDO:0016743,tumor of meninges
MEDDRA:10018813,,MONDO:0016748,hemangioblastoma
MEDDRA:10029267,,MONDO:0016755,neurofibroma
