drugbank_curie,label,unii,unii_ncit,organism_flags,current_ncit_retype
DRUGBANK:DB10464,Populus fremontii pollen,UNII:426RHB4302,NCIT:C85328,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10466,Cupressus arizonica pollen,UNII:232DMH0XVF,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10467,Taxodium distichum pollen,UNII:O12H03B41R,NCIT:C85375,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10468,Eupatorium capillifolium pollen,UNII:B67NF86HF0,NCIT:C85164,NCBI|PLANTS|GRIN,
DRUGBANK:DB10469,Ulmus crassifolia pollen,UNII:G82398SD3I,NCIT:C85383,NCBI|PLANTS|GRIN,
DRUGBANK:DB10470,Eucalyptus globulus pollen,UNII:7XW7TB10X9,NCIT:C85163,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10471,Solidago canadensis pollen,UNII:644CZ16IR5,NCIT:C85366,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10472,Celtis occidentalis pollen,UNII:68R9X9Y96X,NCIT:C85150,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10473,Juniperus californica pollen,UNII:0H1V4V5V9L,NCIT:C85267,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10474,Robinia pseudoacacia pollen,UNII:8003NOJ82F,NCIT:C85351,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10475,Acer rubrum pollen,UNII:700NK45C76,NCIT:C80313,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10478,Melaleuca quinquenervia pollen,UNII:NX974IRT8E,NCIT:C85286,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10479,Chenopodium ambrosioides pollen,UNII:WIB701MW2H,NCIT:C85153,NCBI|GRIN|MPNS,
DRUGBANK:DB10480,Morus alba pollen,UNII:3I9T68187H,NCIT:C85290,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10481,Quercus rubra pollen,UNII:SVW19ET93C,NCIT:C85345,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10482,Syagrus romanzoffiana pollen,UNII:84ZOM591BB,NCIT:C85372,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10483,Schinus molle pollen,UNII:M0G28FH9K1,NCIT:C85364,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10484,Amaranthus spinosus pollen,UNII:380W4HYR6N,NCIT:C85099,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10485,Casuarina equisetifolia pollen,UNII:OZJ4OE173N,NCIT:C85149,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10486,Pinus strobus pollen,UNII:TX1ER5UV3T,NCIT:C85309,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10487,Pinus echinata pollen,UNII:96LRW14765,NCIT:C85301,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10488,Ligustrum vulgare pollen,UNII:Y3FRX92Z0E,NCIT:C85280,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10489,Elymus repens pollen,UNII:ON2T85TA2O,NCIT:C85162,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10490,Ambrosia tenuifolia pollen,UNII:57W5SO585B,NCIT:C85109,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10491,Ambrosia bidentata pollen,UNII:M3S672G75O,NCIT:C85103,PLANTS|GRIN,
DRUGBANK:DB10493,Artemisia frigida pollen,UNII:5AN5LR8L3F,NCIT:C85117,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10494,Distichlis spicata pollen,UNII:GOA51670YV,NCIT:C85160,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10495,Liquidambar styraciflua pollen,UNII:5Q246DS5BS,NCIT:C85281,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10496,Juglans regia pollen,UNII:ARW43087I1,NCIT:C85265,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10497,Amaranthus tuberculatus pollen,UNII:92N6W6KO2G,NCIT:C85100,NCBI|PLANTS|GRIN,
DRUGBANK:DB10498,Triticum aestivum pollen,UNII:F1KAH8374D,NCIT:C85380,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10499,Felis catus hair,UNII:1564HD0N96,NCIT:C80294,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10500,Almond,UNII:3Z252A2K9G,NCIT:C74458,NCBI|PLANTS|GRIN,biolink:Food
DRUGBANK:DB10501,Apple,UNII:B423VGH5S9,NCIT:C71985,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10502,Apricot,UNII:269CJD5GZ9,NCIT:C71986,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10503,Asparagus,UNII:Z1EJP3037Z,NCIT:C71987,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10504,Avocado,UNII:6VNO72PFC1,NCIT:C107267,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10505,Banana,UNII:4AJZ4765R9,NCIT:C71989,NCBI|MPNS,biolink:Food
DRUGBANK:DB10506,Barley,UNII:5PWM7YLI7R,NCIT:C73935,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10508,String bean,UNII:N9D69B2Q7Y,NCIT:C71951,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10509,Beef,UNII:4PIB2155QP,NCIT:C71932,NCBI,biolink:Food
DRUGBANK:DB10510,Brazil nut,UNII:XKR79OET1K,NCIT:C72048,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10511,Broccoli,UNII:UOI4FT57BZ,NCIT:C71997,NCBI,biolink:Food
DRUGBANK:DB10512,Buckwheat,UNII:N0Y68724R3,NCIT:C73936,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10513,Cabbage,UNII:GW0W1Y9I97,NCIT:C71999,NCBI,biolink:Food
DRUGBANK:DB10514,Cantaloupe,UNII:8QF5D5H6UH,NCIT:C72057,NCBI,biolink:Food
DRUGBANK:DB10515,Carrot,UNII:L56Z1JK48B,NCIT:C72000,NCBI|PLANTS|GRIN,biolink:Food
DRUGBANK:DB10516,Casein,UNII:48268V50D5,NCIT:C73337,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10517,Celery,UNII:44IDY6DTKX,NCIT:C71994,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10519,Chicken,UNII:0X8Q245Y7B,NCIT:C14193,NCBI,
DRUGBANK:DB10520,Cinnamon,UNII:5S29HWU6QB,NCIT:C65331,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10523,Coconut,UNII:3RT3536DHY,NCIT:C71966,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10526,Red king crab,UNII:E88KKF623O,,NCBI,
DRUGBANK:DB10527,Cucumber,UNII:YY7C30VXJT,NCIT:C71968,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10528,Egg white,UNII:3E0I92Z2GR,NCIT:C71956,NCBI,biolink:Food
DRUGBANK:DB10529,Egg,UNII:291P45F896,NCIT:C72064,NCBI,biolink:Food
DRUGBANK:DB10530,Egg yolk,UNII:4IPS17B70T,NCIT:C71955,NCBI,biolink:Food
DRUGBANK:DB10531,Flounder,UNII:F8PTG78KRB,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10532,Garlic,UNII:V1V998DC17,NCIT:C38706,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10534,Grapefruit,UNII:O82C39RR8C,NCIT:C71974,NCBI|PLANTS|GRIN,biolink:Food
DRUGBANK:DB10535,Karaya gum,UNII:73W9IQY50Q,NCIT:C83852,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10536,Honeydew melon,UNII:RN8P45F92A,NCIT:C71979,NCBI,biolink:Food
DRUGBANK:DB10537,Lamb,UNII:FOF26T73HA,NCIT:C71638,NCBI,biolink:Food
DRUGBANK:DB10538,Lemon,UNII:24RS0A988O,NCIT:C72005,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10539,Lettuce,UNII:5PO6NN3RRJ,NCIT:C72028,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10540,Lima bean,UNII:112YH1ZMX2,NCIT:C71950,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10541,Lobster,UNII:6T362S6JF6,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10542,Goat milk,UNII:XE5K5I4RP7,NCIT:C72806,NCBI,biolink:Food
DRUGBANK:DB10543,Cow milk,UNII:917J3173FT,NCIT:C66153,NCBI,biolink:Food
DRUGBANK:DB10544,Cultivated mushroom,UNII:54C8E6W6JY,NCIT:C71949,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10546,Oat,UNII:Z6J799EAJK,NCIT:C101357,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10547,Black olive,UNII:2M6QWV94OC,NCIT:C71983,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10548,Onion,UNII:492225Q21H,NCIT:C72035,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10549,Orange,UNII:5EVU04N5QU,NCIT:C65208,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10550,Oyster,UNII:0I77C68AWS,NCIT:C85050,NCBI,biolink:Food
DRUGBANK:DB10551,Pea,UNII:W4X7H8GYFM,NCIT:C72056,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10552,Peach,UNII:3OKE88I3QG,NCIT:C72027,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10553,Peanut,UNII:QE1QX6B99R,NCIT:C72071,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10554,Pear,UNII:2ZN8DWC0YF,NCIT:C72039,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10555,Pecan,UNII:F14P91GB5F,NCIT:C72051,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10556,Green bell pepper,UNII:4J4DOU3HEK,NCIT:C71964,NCBI,biolink:Food
DRUGBANK:DB10557,Black pepper,UNII:KM66971LVF,NCIT:C72040,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10558,Pineapple,UNII:2A88ZO081O,NCIT:C66390,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10559,Pistachio,UNII:6815CPT6ZJ,NCIT:C72053,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10560,Plum,UNII:67M3EQ6BE1,NCIT:C72044,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10561,Pork,UNII:O138UB266J,NCIT:C71958,NCBI,biolink:Food
DRUGBANK:DB10562,Potato,UNII:CFE1S8DYWD,NCIT:C72045,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10563,Rice,UNII:659G217HPG,NCIT:C73972,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10564,Rye,UNII:0R4AQI398X,NCIT:C85249,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10566,Sesame seed,UNII:7Y1255HVXR,NCIT:C71942,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10568,Soybean,UNII:L7HT8F1ZOD,NCIT:C72010,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10569,Spinach,UNII:6WO75C6WVB,NCIT:C72012,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10570,Squash,UNII:9961HBA483,NCIT:C72013,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10571,Strawberry,UNII:4J2TY8Y81V,NCIT:C66565,NCBI|MPNS,biolink:Food
DRUGBANK:DB10572,Corn,UNII:0N8672707O,NCIT:C72066,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10573,Tomato,UNII:Z4KHF2C175,NCIT:C72019,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10575,Turkey,UNII:8E9NT44R8I,NCIT:C73855,NCBI,biolink:Food
DRUGBANK:DB10576,Vanilla,UNII:Q74T35078H,NCIT:C84613,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10577,English walnut,UNII:1V3SHR7QB7,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10578,Watermelon,UNII:231473QB6R,NCIT:C72022,NCBI|PLANTS|MPNS,biolink:Food
DRUGBANK:DB10579,Wheat,UNII:4J2I0SN84Y,NCIT:C74546,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10580,Tea leaf,UNII:GH42T47V24,NCIT:C87164,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10581,Khuskia oryzae,UNII:VK8C112WTS,,NCBI,
DRUGBANK:DB10582,Artemisia annua pollen,UNII:36R82U4DL6,NCIT:C85114,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10603,Meriones unguiculatus skin,UNII:9WN2H714TG,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10604,Capra hircus skin,UNII:JLG9853E2P,,NCBI,
DRUGBANK:DB10605,Mesocricetus auratus skin,UNII:3K873H631W,,NCBI,
DRUGBANK:DB10606,Sus scrofa skin,UNII:3EM4VW6TQN,,NCBI,
DRUGBANK:DB10607,Oryctolagus cuniculus skin,UNII:Z91WAU43WC,,NCBI,
DRUGBANK:DB10608,Rattus norvegicus skin,UNII:Y69HPD48AI,,NCBI,
DRUGBANK:DB10609,Bombyx mori fiber,UNII:6LK42KUV6W,NCIT:C79611,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10610,Duck,UNII:28ON068RWM,NCIT:C73850,NCBI,biolink:Food
DRUGBANK:DB10612,Veal,UNII:0X5GW3050M,NCIT:C71937,NCBI,biolink:Food
DRUGBANK:DB10614,Common carp,UNII:ZB2SV6JJY5,,NCBI,
DRUGBANK:DB10615,Haddock,UNII:0WLY635722,,NCBI,
DRUGBANK:DB10616,Pacific halibut,UNII:BKZ683617P,,NCBI,
DRUGBANK:DB10620,Red snapper,UNII:WF621S7K14,NCIT:C71917,NCBI,biolink:Food
DRUGBANK:DB10621,Atlantic salmon,UNII:7062I37LB3,,NCBI,
DRUGBANK:DB10622,European pilchard,UNII:76780GX08D,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10625,Swordfish,UNII:01695YPV36,NCIT:C71911,NCBI,biolink:Food
DRUGBANK:DB10628,Blackberry,UNII:8A6OMU3I8L,NCIT:C71601,NCBI|PLANTS,biolink:Food
DRUGBANK:DB10630,Sour cherry,UNII:1L29G6428X,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10631,Cranberry,UNII:0MVO31Q3QS,NCIT:C28943,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10632,Date,UNII:H3O7QI5HY7,NCIT:C72063,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10633,Fig,UNII:TGD87RII2U,NCIT:C71971,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10634,Wine grape,UNII:3GOV20705G,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10635,Lime (citrus),UNII:8CZS546954,NCIT:C72002,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10636,Raspberry,UNII:4N14V5R27W,NCIT:C72036,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10637,Tangerine,UNII:KH3E3096OO,NCIT:C72017,NCBI|GRIN|MPNS,biolink:Food
DRUGBANK:DB10638,Artichoke,UNII:4F3W47PLBE,,NCBI|PLANTS,
DRUGBANK:DB10639,Kidney bean,UNII:M98C8416QO,NCIT:C82900,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10640,Beet,UNII:N487KM8COK,NCIT:C72003,NCBI,biolink:Food
DRUGBANK:DB10641,Kiwi fruit,UNII:71ES77LGJC,NCIT:C71981,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10642,Brussels sprout,UNII:KHX46H31F8,NCIT:C71998,NCBI,biolink:Food
DRUGBANK:DB10643,Cauliflower,UNII:138LUT2DWV,NCIT:C72055,NCBI,biolink:Food
DRUGBANK:DB10644,Eggplant,UNII:W5K7RAS4VK,NCIT:C71969,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10645,Lentil,UNII:6O38V6B52O,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10646,Green olive,UNII:6HD2W46UEG,NCIT:C72034,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10647,Parsley,UNII:58FMD0Q0EV,NCIT:C72037,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10648,Sweet potato,UNII:M9WGG9Z9GK,NCIT:C72015,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10650,Raphanus sativus,UNII:86R5J6D01D,,NCBI|MPNS,
DRUGBANK:DB10651,Rhubarb,UNII:G280W4MW6E,NCIT:C74269,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10652,Turnip,UNII:Z38C7FBM49,NCIT:C72020,NCBI|PLANTS,biolink:Food
DRUGBANK:DB10653,Cashew,UNII:3H5U5CX7KO,NCIT:C72049,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10655,Macadamia nut,UNII:Y5432RGW8N,NCIT:C71640,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10656,Nectarine,UNII:65KD9TD4C3,NCIT:C72032,NCBI,biolink:Food
DRUGBANK:DB10657,Mango,UNII:I629I3NR86,NCIT:C71637,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10658,Papaya,UNII:KU94FIY6JB,NCIT:C72047,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10659,Leek,UNII:RCU76P419D,NCIT:C71973,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10660,Okra,UNII:51ME2L7STL,NCIT:C72033,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10661,Parsnip,UNII:L2V28YP49S,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10662,Chickpea,UNII:N91637DNW9,NCIT:C71992,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10663,Black-eyed pea,UNII:786YV7B602,NCIT:C71995,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10664,Watercress,UNII:K5877MW0LE,NCIT:C75666,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10666,Arabica coffee bean,UNII:3SW678MX72,,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10667,Tragacanth,UNII:2944357O2O,NCIT:C84223,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10669,Allspice,UNII:I5GZG55B36,NCIT:C73857,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10670,Laurus nobilis,UNII:WS0Y3M85RF,,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10671,Caraway seed,UNII:W2FH8O2BBE,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10672,Clove,UNII:K48IKT5321,NCIT:C73872,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10673,Dill,UNII:Y05PC4JZRH,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10674,Horseradish,UNII:8DS6G120HJ,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10676,Nutmeg,UNII:AEE24M3MQ9,NCIT:C73928,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10677,Oregano,UNII:0E5AT8T16U,,NCBI|MPNS,
DRUGBANK:DB10678,Paprika,UNII:X72Z47861V,NCIT:C73909,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10679,White pepper,UNII:M29DW54Q9E,NCIT:C73922,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10681,Poppy seed,UNII:60RO23IR87,NCIT:C73910,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10683,Spearmint,UNII:J7I2T6IV1N,NCIT:C84614,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10685,Wheat bran,UNII:6L966A1IMR,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10686,American chestnut,UNII:0XH1TH76XZ,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10687,Hops,UNII:01G73H6H83,NCIT:C73896,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10688,Musca domestica,UNII:PV7823W303,NCIT:C87500,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10690,Ctenocephalides canis,UNII:LN7IM9RDEA,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10691,Aedes taeniorhynchus,UNII:BN2DNW66IQ,NCIT:C87499,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10693,Ctenocephalides felis,UNII:5X9Y89ENI9,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10694,Aspergillus flavus,UNII:3J888Y9L13,NCIT:C77181,NCBI,
DRUGBANK:DB10695,Eurotium herbariorum,UNII:49W168AES4,,NCBI,
DRUGBANK:DB10696,Trichothecium roseum,UNII:TGO054E31O,,NCBI,
DRUGBANK:DB10697,Curvularia inaequalis,UNII:W042YAB8JC,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10699,Geotrichum candidum,UNII:5964J742O8,,NCBI,
DRUGBANK:DB10700,Phoma glomerata,UNII:UPX000VMIF,,NCBI,
DRUGBANK:DB10701,Rhodotorula mucilaginosa,UNII:62TY3X4N9Z,NCIT:C86027,NCBI,
DRUGBANK:DB10702,Stemphylium sarciniforme,UNII:XQ14H1462M,,NCBI,
DRUGBANK:DB10703,Trichoderma harzianum,UNII:CA33Q4013Q,,NCBI,
DRUGBANK:DB10704,Ustilago avenae,UNII:YIH315U1TU,NCIT:C87521,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10705,Tilletia caries,UNII:C7000B9PQI,NCIT:C87520,NCBI,
