token,rows,rows_where_token_is_the_symbol,example_gene_id,example_tax_id,example_full_name
RNA polymerase beta'' subunit,10414,0,63351922,2709,RNA polymerase beta'' subunit
transcription factor TFIIIB component B'' homolog,1142,0,102613204,2711,transcription factor TFIIIB component B''
U2 small nuclear ribonucleoprotein B'',1037,0,102612402,2711,U2 small nuclear ribonucleoprotein B''
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma,922,0,100199816,6087,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta,781,0,100211564,6087,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,772,0,100162850,7029,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha
V-type proton ATPase 21 kDa proteolipid subunit c'',691,0,100209012,6087,V-type proton ATPase 21 kDa proteolipid subunit c''
DNA-directed RNA polymerase subunit A'',671,0,24793234,2162,DNA-directed RNA polymerase subunit A''
DNA-directed RNA polymerase subunit B'',466,0,24793237,2162,DNA-directed RNA polymerase subunit B''
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like,446,0,135348851,6063,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like
CRISPR-associated endonuclease Cas3'',318,0,56452402,192,CRISPR-associated endonuclease Cas3''
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like,301,0,145191143,6082,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like
cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like,279,0,102622417,2711,cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like
probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2,266,0,102607891,2711,probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
serine/threonine protein phosphatase 2A regulatory subunit B''beta-like,252,0,102625238,2711,serine/threonine protein phosphatase 2A regulatory subunit B''beta-like
H(+)-transporting V0 sector ATPase subunit c'',240,0,30986702,4903,H(+)-transporting V0 sector ATPase subunit c''
malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase-like,209,0,102611729,2711,malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase-like
U2 small nuclear ribonucleoprotein B''-like,204,0,143849026,3420,U2 small nuclear ribonucleoprotein B''-like
V-type proton ATPase 21 kDa proteolipid subunit c''-like,192,0,135339517,6063,V-type proton ATPase 21 kDa proteolipid subunit c''-like
pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like,183,0,125491531,3555,pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like
malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like,181,0,143848696,3420,malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like
V-type proton ATPase subunit c''2,179,0,102611677,2711,V-type proton ATPase subunit c''1
kdo(2)-lipid A phosphoethanolamine 7''-transferase,179,0,86998977,546,kdo(2)-lipid A phosphoethanolamine 7''-transferase
DNA-directed RNA polymerase subunit beta''-like,177,0,131033488,3369,DNA-directed RNA polymerase subunit beta''-like
coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1-like,171,0,102629630,2711,coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1-like
probable serine/threonine protein phosphatase 2A regulatory subunit B''delta,161,0,107893188,3635,probable serine/threonine protein phosphatase 2A regulatory subunit B''delta
malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like,152,0,143849405,3420,malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha-like,150,0,124110383,6454,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like
ADP-ribose 1''-phosphate phosphatase,126,0,30988674,4903,ADP-ribose 1''-phosphate phosphatase
serine/threonine protein phosphatase 2A regulatory subunit B''beta,120,0,112278804,3218,serine/threonine protein phosphatase 2A regulatory subunit B''beta
RNA polymerase subunit beta'',109,0,36487185,3218,RNA polymerase subunit beta''
V-type proton ATPase subunit c''1,103,0,102611677,2711,V-type proton ATPase subunit c''1
malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase,99,0,102610186,2711,malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase
cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1,98,0,115698903,3483,cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1
DNA-directed RNA polymerase subunit beta'',94,0,131057470,3369,DNA-directed RNA polymerase subunit beta''
coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1,94,0,107896906,3635,coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1
transcription factor TFIIIB component B'',83,0,102613204,2711,transcription factor TFIIIB component B''
U2 small nuclear ribonucleoprotein B'' 2-like,78,0,133792774,3486,U2 small nuclear ribonucleoprotein B'' 2-like
coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 2-like,78,0,102608868,2711,coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 2-like
protein phosphatase 2 regulatory subunit B''gamma,77,0,103178529,7868,"protein phosphatase 2, regulatory subunit B'', gamma"
Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,74,0,109789678,3821,serine/threonine protein phosphatase 2A regulatory subunit B''beta
Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma,74,0,94316218,4785,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma
anthocyanidin 3-O-glucoside 6''-O-acyltransferase-like,74,0,133880448,3517,anthocyanidin 3-O-glucoside 6''-O-acyltransferase-like
V-type proton ATPase subunit c''2-like,73,0,131043346,3369,V-type proton ATPase subunit c''2-like
primosomal replication protein N'',71,0,87002329,546,primosomal replication protein N''
protein phosphatase 2 regulatory subunit B''alpha,64,0,103174813,7868,"protein phosphatase 2, regulatory subunit B'', alpha"
malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase,63,0,112707064,3818,malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase
putative ADP-ribose 1''-phosphate phosphatase,63,0,30989395,4903,putative ADP-ribose 1''-phosphate phosphatase
DNA-directed RNA polymerase beta'' chain,61,0,40412710,3775,DNA-directed RNA polymerase beta'' chain
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 2,61,0,307161124,8284,"protein phosphatase 2, regulatory subunit B'', alpha"
RNA polymerase b''-subunit,59,0,37623263,2777,RNA polymerase b''-subunit
anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase-like,59,0,110782734,3562,anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase-like
transcription factor TFIIIB component B'' homolog Bdp1,57,0,143233770,6853,transcription factor TFIIIB component B'' homolog Bdp1
anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,55,0,102627603,2711,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like
U2 small nuclear ribonucleoprotein B'' 2,52,0,102621915,2711,U2 small nuclear ribonucleoprotein B'' 2
RNA polymerase beta'' chain,50,0,802544,3037,RNA polymerase beta'' chain
putative serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2,50,0,102607891,2711,probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta,49,0,101449069,7213,hyphally regulated cell wall protein 3
pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase,45,0,102615417,2711,pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase
serine/threonine protein phosphatase 2A regulatory subunit B''alpha,45,0,102613282,2711,serine/threonine protein phosphatase 2A regulatory subunit B''alpha
APH(3'') family aminoglycoside O-phosphotransferase,44,0,89576775,382,APH(3'') family aminoglycoside O-phosphotransferase
RNA polymerase beta '' subunit,44,0,41043865,4497,RNA polymerase beta '' subunit
serine/threonine protein phosphatase 2A regulatory subunit B''alpha-like,44,0,133784956,3486,serine/threonine protein phosphatase 2A regulatory subunit B''alpha-like
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta-like,44,0,135341545,6063,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta-like
transcription factor TFIIIB component B''-like,44,0,113288689,3469,transcription factor TFIIIB component B''-like
Transcription factor TFIIIB component B'',43,0,109810960,3821,uncharacterized LOC109810960
DNA-directed RNA polymerase beta'' subunit,40,0,44802422,47968,DNA-directed RNA polymerase beta'' subunit
DIS3 exosome endoribonuclease and 3''-5'' exoribonuclease,39,0,140912319,8472,DIS3 exosome endoribonuclease and 3'-5' exoribonuclease
"2'',3''-cyclic nucleotide 3'' phosphodiesterase",38,0,137429899,7769,"2',3'-cyclic nucleotide 3' phosphodiesterase"
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 2,38,0,310884050,8843,protein phosphatase 2 regulatory subunit B''beta
protein phosphatase 2 regulatory subunit B''beta,36,0,102348238,7897,"protein phosphatase 2, regulatory subunit B'', beta"
U2 small nuclear ribonucleoprotein B'' isoform 1,35,0,311189699,9123,small nuclear ribonucleoprotein polypeptide B2
flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like,34,0,102623228,2711,flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like
coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 2,33,0,115700277,3483,coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 2
V-type proton ATPase subunit c''1-like,32,0,143860686,3420,V-type proton ATPase subunit c''1-like
"protein phosphatase 2, regulatory subunit B'', alpha",29,0,398611,8355,"protein phosphatase 2 regulatory subunit B, alpha S homeolog"
malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase,28,0,104895749,3555,phenolic glucoside malonyltransferase 1
beta'' subunit of RNA polymerase,27,0,27985135,3125,beta'' subunit of RNA polymerase
aminoglycoside O-phosphotransferase APH(3'')-Ib,26,0,75060601,564,aminoglycoside O-phosphotransferase APH(3'')-Ib
anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase,26,0,104898032,3555,anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase
anthocyanidin 3-O-glucoside 6''-O-acyltransferase,26,0,105160956,4182,anthocyanidin 3-O-glucoside 6''-O-acyltransferase
V-type proton ATPase subunit c'',25,0,103488269,3656,V-type proton ATPase subunit c''1
"protein phosphatase 2, regulatory subunit B'', gamma",25,0,588222,7668,protein phosphatase 2 regulatory subunit B''gamma
putative isoflavone-7-O-beta-glucoside 6''-O-malonyltransferase,25,0,11418791,3880,phenolic glucoside malonyltransferase 1
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma isoform 2,25,0,310900178,8843,protein phosphatase 2 regulatory subunit B''gamma
anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase,23,0,115698903,3483,cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1
"protein phosphatase 2, regulatory subunit B'', beta",22,0,115107547,8023,P2Y receptor family member 8
putative anthocyanin 6''-O-malonyltransferase,22,0,11414976,3880,malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase
AadA family aminoglycoside 3''-O-nucleotidyltransferase,21,0,56664586,292,AadA family aminoglycoside 3''-O-nucleotidyltransferase
putative serine/threonine protein phosphatase 2A regulatory subunit B''delta,20,0,108805595,3726,probable serine/threonine protein phosphatase 2A regulatory subunit B''delta
ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,19,0,75204017,621,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1
RNA polymerase beta''subunit,19,0,42265595,4202,RNA polymerase beta''subunit
probable serine/threonine protein phosphatase 2A regulatory subunit B''epsilon,19,0,133856897,3517,probable serine/threonine protein phosphatase 2A regulatory subunit B''epsilon
flavanone 7-o-glucoside 2''-o-beta-l-rhamnosyltransferase,18,0,109205325,49451,"beta-D-glucosyl crocetin beta-1,6-glucosyltransferase-like"
RNA polymerase b''''-subunit,17,0,33354740,103713,RNA polymerase b''''-subunit
probable serine/threonine protein phosphatase 2A regulatory subunit B''gamma,17,0,113317500,3469,probable serine/threonine protein phosphatase 2A regulatory subunit B''gamma
RNA polymerase beta'''' subunit,16,0,32228192,78168,RNA polymerase beta'''' subunit
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 2;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 3,16,0,311262717,8173,"protein phosphatase 2, regulatory subunit B'', beta"
transcription factor TFIIIB component B'' homolog isoform 1;transcription factor TFIIIB component B'' homolog isoform 2;transcription factor TFIIIB component B'' homolog isoform 3,15,0,307184286,9737,BDP1 general transcription factor IIIB subunit
plastocyanin B'/B'',14,0,101495137,3827,plastocyanin B'/B''
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta,14,0,109044277,7038,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta
"U2 small nuclear ribonucleoprotein B'', putative",13,0,55149432,5823,"U2 small nuclear ribonucleoprotein B'', putative"
"5',5'''-P-1,P-4-tetraphosphate phosphorylase 2",12,0,63716109,98403,"5',5'''-P-1,P-4-tetraphosphate phosphorylase 2"
ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,12,0,29371622,511,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2
Transcription factor TFIIIB component B'' like protein,12,0,102941556,8469,methylcrotonyl-CoA carboxylase subunit 2
Transcription factor TFIIIB component B''-like protein,12,0,106018260,8839,BDP1 general transcription factor IIIB subunit
U2B'',12,8,817576,3702,U2 small nuclear ribonucleoprotein B
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 2;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 3,12,0,311274176,8173,"protein phosphatase 2, regulatory subunit B'', alpha"
"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2",11,0,71990234,5499,"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2"
Malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase,11,0,114379449,3848,malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like
Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1,10,0,102608868,2711,coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 2-like
aminoglycoside nucleotidyltransferase ANT(2'')-Ia,10,0,93396233,585,aminoglycoside nucleotidyltransferase ANT(2'')-Ia
"protein phosphatase 2 (formerly 2A), regulatory subunit B'', gamma",10,0,398847,8355,"protein phosphatase 2 regulatory subunit B', gamma L homeolog"
putative anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase,10,0,11405556,3880,cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 2;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 3;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta isoform 4,10,0,309619861,9768,protein phosphatase 2 regulatory subunit B''beta
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma isoform 1;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma isoform 2;serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma isoform 3,10,0,308647195,9997,protein phosphatase 2 regulatory subunit B''gamma
Malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase,9,0,102611729,2711,malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase-like
U2 small nuclear ribonucleoprotein B'' isoform 1;U2 small nuclear ribonucleoprotein B'' isoform 2,9,0,310896645,8843,small nuclear ribonucleoprotein polypeptide B2
"protein phosphatase 2 (formerly 2A), regulatory subunit B'', alpha",9,0,424733,9031,protein phosphatase 2 regulatory subunit B''alpha
RNA polymerase b'' subunit,8,0,76347310,49249,RNA polymerase b'' subunit
V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 1;V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 2,8,0,309615708,9768,ATPase H+ transporting V0 subunit b
"diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase",8,0,77730416,4972,"diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase"
flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase,8,0,18590381,3641,flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase
geranylhydroquinone 3''-hydroxylase CYP76B74-like,7,0,126687840,3986,geranylhydroquinone 3''-hydroxylase CYP76B74-like
plastocyanin A'/A'',7,0,104226609,4096,plastocyanin A'/A''
putative serine/threonine protein phosphatase 2A regulatory subunit B''gamma,7,0,102625238,2711,serine/threonine protein phosphatase 2A regulatory subunit B''beta-like
small nuclear ribonucleoprotein polypeptide B'',7,0,421261,9031,small nuclear ribonucleoprotein polypeptide B2
streptomycin 3''-adenylyltransferase,7,0,37137038,1448315,streptomycin 3''-adenylyltransferase
ANT(3'')-II family aminoglycoside nucleotidyltransferase,6,0,86814627,70347,ANT(3'')-II family aminoglycoside nucleotidyltransferase
V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 1,6,0,308665410,31155,ATPase H+ transporting V0 subunit b
anthocyanidin 3-o-glucoside 2''-o-glucosyltransferase,6,0,109221964,49451,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 1,6,0,311526375,27788,protein phosphatase 2 regulatory subunit B''alpha
